OBJECTID,FROMRIGHT,SHAPE,SHAPE.STLength()
366,0,,109.3398254654525
367,0,,18.08985011774118
368,0,,7.743046293260724
369,0,,9.045165864721357
370,0,,31.235945360095215
371,0,,10.132421029846974
372,0,,39.2220261491324
373,0,,558.6555272136278
374,0,,46.13399068617417
375,0,,19.373939417500992
376,0,,21.087736692330655
377,0,,21.778818119134332
378,0,,11.398021728592134
379,0,,28.332788813755236
380,0,,20.43069188216047
381,0,,25.141686108930095
382,0,,73.28138907706804
383,0,,112.68207503662116
384,0,,110.49901812767602
385,0,,42.17399756103576
386,0,,112.45113952610672
387,0,,16.93537122222854
388,0,,159.33294252462267
389,0,,16.7623462463939
390,2,,40.54443073193937
391,2,,27.24104764534446
392,0,,33.78712729696454
393,0,,47.58175949994953
394,0,,46.637093427392045
395,0,,1.9569757406607613
396,1700,,101.92994376259712
397,2100,,25.32032367301808
398,2100,,174.68544747687136
402,0,,47.26301232298277
403,0,,47.24976545845139
407,0,,100.48532873657061
408,900,,100.42103856057287
409,1412,,154.81023602446447
410,2224,,50.00906168128346
411,1196,,229.52516752403073
412,1200,,209.86543399683993
413,1450,,106.74437489538812
415,1600,,203.1157318398903
416,650,,100.11959848237755
417,1600,,202.608269858
418,1300,,216.7161545701032
419,1518,,81.61734315839296
420,1322,,127.41947010061268
421,2200,,100.29086340340194
422,1500,,200.70845542255194
423,1600,,131.5303573527948
424,1600,,199.90884604419603
425,1926,,99.29682377623655
426,2300,,228.21135687702048
427,1076,,55.17113208591372
429,1400,,59.28073667947407
430,2400,,178.5786914139258
431,1650,,94.94642563497206
432,700,,61.9415878543326
433,700,,41.2941988824441
434,1330,,36.32868957573833
435,1300,,191.68516250878892
436,1400,,201.26757098628866
437,1500,,197.44204887392326
438,1550,,110.49977238455843
439,800,,81.76125851413367
440,1126,,74.10145947406663
441,1500,,110.50159901998947
442,1528,,83.11551269907049
443,1360,,100.9488904475172
444,1720,,102.80664585409578
445,0,,10.128035477490503
446,0,,26.77446457595641
447,0,,2.746421485061022
448,0,,19.851178251121013
450,1900,,93.77576971520004
451,0,,6.70329192551046
455,34,,29.570349969612
456,0,,15.272993844702823
457,0,,13.57771227890966
458,930,,100.78916043366662
459,0,,41.61609527393767
460,0,,44.24137724573174
461,1300,,103.90846532613195
463,0,,0.6152132401933299
464,1078,,125.09400922735315
465,1502,,117.89820560223922
466,1500,,2.3300326294184686
467,1500,,0.07487723168520477
468,800,,249.4854811262174
469,2500,,162.17295827084124
470,1126,,76.93165312466705
471,1900,,104.05971374770141
473,1700,,98.65128664370089
474,2000,,91.41710246751293
475,1200,,194.6011073991524
476,1300,,111.9941382553959
477,1344,,77.35291684853736
478,1320,,80.1259593937921
479,2,,192.06644711571607
480,0,,50.70049985717833
481,0,,21.663965545421892
482,0,,101.96260189762842
483,0,,54.001235778370976
486,928,,100.59681983461215
487,700,,88.4939824582024
488,1100,,119.99379927667852
489,2124,,99.3080732005551
490,1000,,100.778473097381
491,742,,94.41738975873014
492,742,,0.18925054838137467
493,0,,97.43007771211911
494,2600,,136.4776463006937
495,2100,,200.51480314879151
497,1200,,89.74896313598893
498,2100,,201.14045047433154
500,1060,,53.97780403196375
501,1950,,85.49788476682977
503,1800,,129.88154920673801
504,932,,72.8067590572496
505,0,,52.988857371123544
506,0,,54.1288894981238
507,92,,39.60164444824616
508,1318,,185.42025337447834
509,2000,,108.81255535512362
511,270,,831.4338715080635
513,2,,152.19628466754114
514,1100,,256.8185784482922
515,1900,,148.88815856988458
516,1300,,200.95501260716395
517,0,,16.651819448182458
518,900,,100.77931974585756
520,900,,100.61311767610565
521,1050,,49.3514115135097
522,1900,,92.27250313034067
523,1500,,110.02771793913982
524,1472,,78.97878891690912
525,1300,,133.11509146771553
526,1356,,97.57367583230176
527,624,,111.59720030876224
528,1358,,100.35301536478893
530,700,,93.41549741770997
531,700,,0.46160503651469154
532,1426,,110.5444705770012
533,1900,,65.89999208386529
534,800,,49.685755888101724
535,1800,,129.69639650535285
537,0,,7.541731427466261
538,0,,4.761140897563159
539,830,,94.47242776558619
540,1800,,129.22315588741392
541,1800,,129.7014389053713
542,1100,,297.2991725335107
543,1722,,102.32815873497748
545,1332,,31.254091685869707
547,1600,,199.73219212928618
548,1800,,105.41769303858763
549,1700,,309.493611670285
550,1900,,95.07932969928953
552,1800,,102.86170341434028
554,1242,,137.80181035223004
555,0,,15.6438217474908
556,0,,3.6758375343290632
558,2000,,100.22499963706382
559,1500,,200.61307366629222
560,1400,,91.98191988778834
561,932,,98.50258000817227
562,1232,,81.42948457599545
563,2600,,175.70256536203192
565,2,,226.27126112782028
567,800,,278.79936107928097
568,1160,,75.38113794307635
569,0,,2.4574979672526736
570,1700,,97.94697741595289
572,1360,,101.39037862284205
573,1600,,203.66386354697525
575,1300,,94.75367228123436
576,1730,,101.59535091911225
577,1900,,101.73365655834908
580,1600,,200.7563346147424
585,1700,,200.7104950432455
586,1232,,56.9257256999054
587,1700,,97.25014083937108
588,1300,,138.59913470935174
589,1530,,83.3966381496384
590,1720,,100.12700554072332
591,1800,,201.56900820866804
592,1700,,99.17301809558207
593,1800,,98.7066109569465
594,1600,,200.69562685277688
595,1924,,99.51407697777205
597,1700,,201.0729287954489
598,2000,,211.09328358856106
599,730,,94.36687304577823
601,1626,,106.75835754154043
602,1700,,102.10229715029698
604,1624,,71.41468024906558
605,1900,,202.24696264669706
606,1600,,112.37095075951459
607,1724,,100.26164841231228
609,0,,20.603361588897766
610,0,,31.620767305499168
611,0,,15.940471333527974
612,0,,112.07034124841765
613,1626,,101.74785472984509
614,0,,22.270098465868863
615,0,,22.90784122675614
616,0,,29.090676474362233
617,0,,114.15521156243801
618,0,,27.30806316272434
619,1500,,183.50573125135813
620,0,,12.310909340109859
621,2300,,104.0434121145089
622,1500,,201.43690902289438
624,1100,,82.26731797987067
625,1430,,134.15198779651118
626,2000,,208.51717715622598
627,2700,,99.99094636234835
629,1700,,206.1775526249527
630,0,,48.608443150289446
631,0,,412.12914474449656
633,1762,,170.76701230347206
634,1500,,171.47750945068606
635,1500,,52.778942270459034
637,1200,,146.36137271190293
638,1100,,157.4091596815875
639,1500,,78.85646614175033
640,0,,88.51590594946474
641,1300,,92.52264747910839
642,0,,5.720094777276625
643,1000,,239.1101588325828
644,0,,34.22238675966997
645,0,,18.746069678409125
646,1600,,96.14318304712087
647,700,,98.14623096688527
648,1800,,101.10740070721765
649,1500,,193.7125522967373
650,1822,,100.3542810907412
651,770,,10.818328902374725
652,770,,85.63998320047178
654,1600,,208.12641801536302
655,1800,,159.85497112013476
656,1100,,81.8332890332788
657,1700,,100.9161759980019
658,1632,,101.3639970483522
660,1500,,108.99775852912263
661,100,,129.9879667892972
662,0,,31.315612219707063
666,0,,75.6435921516782
667,0,,5.493147911708005
668,2,,301.00039829114326
669,0,,104.60996427773257
670,0,,110.72115292615122
671,0,,134.32938707436753
672,2400,,195.7455900424194
673,2300,,139.29305760532247
674,1500,,143.06942338839218
675,1650,,94.46164867380006
676,2500,,98.48869423521967
678,1900,,127.0502902155879
679,600,,26.07730080317667
680,2100,,94.63350423986003
681,2100,,106.09499451397292
682,1300,,530.4941609946569
685,900,,199.1505179783822
686,1200,,77.36875713865737
687,800,,236.25513820560107
688,700,,183.62576672450996
689,0,,290.15489886246854
690,0,,144.16353747490305
691,0,,112.06607019664428
692,0,,337.80899596508675
693,630,,108.02727690568321
694,700,,96.73190391906479
695,0,,0.9267463627982815
696,0,,1235.483115500861
697,0,,94.52889251607338
699,0,,85.43705515165206
700,0,,75.47251416279954
701,0,,12.11604815031938
702,0,,10.325106501472558
703,0,,19.216438715048383
704,0,,14.512353117391912
705,740,,12.37535460791023
706,740,,84.2658066190449
707,1536,,69.8211241436937
708,958,,103.35251497498862
709,1500,,73.56830023130661
710,2000,,206.5675326157708
711,0,,11.396694558841281
712,0,,44.752853108688264
713,0,,44.155436137283814
714,1042,,105.78413775080769
715,2700,,103.833762549321
716,1772,,103.94176807535005
717,1160,,77.11192475920748
718,900,,184.2263595916165
725,1200,,190.71857143646804
726,0,,193.46174961625854
727,0,,359.2832127070752
728,1950,,79.66450817468369
729,0,,28.958772457747756
730,1900,,79.40566436547365
731,1800,,129.4233784989659
732,1750,,101.679306784728
734,0,,88.57112845752592
735,0,,147.81224414776491
736,1650,,109.25566965639207
737,0,,30.075067140700703
738,1600,,15.425096553738227
739,0,,71.22978965497337
740,0,,58.843936197520804
741,0,,4.823892540250462
742,0,,1.2748673066025713
743,0,,96.291883807361
744,0,,117.0786672946739
745,0,,176.77970403359342
746,0,,55.10107127927455
747,0,,144.7585526163112
748,0,,133.54627641733245
750,0,,176.48683202151997
751,0,,76.26427944708296
752,0,,78.55988245287264
753,0,,29.577076490814907
754,0,,30.426897461805556
755,0,,120.4599161934377
756,0,,55.51589425541217
757,0,,31.202993017406314
759,1500,,106.95091695373546
760,1118,,76.69538611507518
761,1726,,101.34549548060212
764,2,,60.980302253230754
765,2,,140.97246432617524
768,2022,,115.03607648188695
769,1200,,197.3562884093783
770,2000,,206.93453810681274
772,902,,97.93564593201161
773,0,,27.30843685023027
774,1520,,66.68196364877102
776,920,,97.04480008957437
778,1300,,94.82255429110634
779,1100,,152.95579705351446
780,1200,,115.57616627749371
781,1300,,229.04247837633267
783,1200,,158.99667607316263
785,1000,,292.3435075985045
786,0,,39.17227047206686
787,0,,311.1018967192974
788,0,,12.231260062407209
789,1500,,106.7911579525915
791,2100,,98.41552295500281
792,1700,,201.28519835634847
793,1600,,99.50866646841666
794,2130,,100.98911597777321
795,700,,90.43633922310407
796,700,,8.77278745548963
797,1000,,100.6762606077761
800,1552,,66.76961439246854
802,2500,,162.18335734594152
803,1060,,50.72316186568061
805,1600,,99.55637441342212
808,1700,,308.6091165007485
