OBJECTID,Field Pole Number,CITY_FACILITY_ID,Utility Pole Number,Fixture Type,Current Lamp Type,Current Wattage,Rate Change Submission Date,LED Conversion Status,Installation Date,Leotek Replacement Status,Replacement Date,LED Fixture,Part Number,Manufacturer,Control Device,Field Issues,Access Issues,Pole Material,Arm Length,Mounting Height,Light Shield,Pre-Conversion Lamp Type,Pre-Conversion Wattage,Pre-Replacement Lamp Type,Pre-Replaceent Wattage,Utility Address,Approximate Address,Latitude, Longitude,Tanko ID,Shape,x,y
505,6968,NO CITY DATA,B6968,Cobra Head,LED,34,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,LED Replaced by City of Berkeley,4/27/2020,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,Access Issue: Public Park,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,HARMON ST 1905,1905 Harmon St,"37.850226, -122.269605",4808,,564257.3652999997,4189448.8150999993
506,FR1922,NO CITY DATA,FR1922,Cobra Head,LED,34,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,LED Replaced by City of Berkeley,4/27/2020,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,Access Issue: Public Park,Metal,2 ft,> 30 feet,N/A,HPS,100,N/A,N/A,FAIRVIEW ST 1922,1922 Fairview St,"37.850457, -122.269543",4809,,564262.6193000004,4189474.4876000006
507,OR1499,NO CITY DATA,OR1499,Decorative,LED,30,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Sensity Post Top, Type III",PT-100-3-UAC-40,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,OREGON 1499   BADGE NN22,2842 Sacramento St,"37.856063, -122.279881",7153,,563348.3150000004,4190089.4167
508,7485,NO CITY DATA,B7485,Cobra Head,LED,39,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,150,N/A,N/A,GROVE 1623   BADGE GV1623,1742 Oregon St,"37.856615, -122.272852",7308,,563966.1819000002,4190155.4548000004
509,SP2483,NO CITY DATA,SP2483,Decorative,LED,42,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Sensity Post Top, Type V",PT-150-5-UAC-40,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SAN PABLO AVE 2483,2498 San Pablo Ave,"37.861365, -122.28979",7453,,562472.1413000003,4190671.0043
510,SP2479,NO CITY DATA,SP2479,Decorative,LED,42,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Sensity Post Top, Type V",PT-150-5-UAC-40,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SAN PABLO AVE 2481,2445 San Pablo Ave,"37.861424, -122.289517",7454,,562496.1056000004,4190677.733100001
511,S2150D,S2150D,S2150D,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 7 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8694847, -122.2681604",7755,,564367.7057999996,4191586.5955
512,6967,NO CITY DATA,B6967,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,> 30 feet,N/A,HPS,100,N/A,N/A,HARMON ST 1905,1903 Harmon St,"37.850298, -122.269685",7797,,564250.2646000003,4189456.7485000007
513,FR1915,NO CITY DATA,FR1915,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,FAIRVIEW ST 1912,1908 Fairview St,"37.850469, -122.269827",7798,,564237.6233999999,4189475.6235000007
514,FR1960,NO CITY DATA,FR1960,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/27/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,FAIRVIEW ST 1960,1922 Fairview St,"37.850569, -122.269636",7799,,564254.3403000003,4189486.8500999995
515,SC2844,SC2840,SC2844,Decorative,LED,30,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-100-3-UAC-40,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SACRAMENTO 2842,2842 Sacramento St,"37.8561529, -122.2797954",7154,,563355.7682999996,4190099.4494000003
516,CO2984,CO2984,CO2984,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,> 30 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2984,2984 College Ave,"37.856455, -122.253072",7667,,565706.3668,4190151.4398
517,C02944,CO2944,CO2944,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2944,2944 College Ave,"37.857284, -122.253146",7669,,565699.1211999999,4190243.366699999
518,C02935,CO2935,CO2935,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2935,2937 College Ave,"37.857723, -122.253059",7670,,565706.3848000001,4190292.1357000005
519,C02910,CO2910,CO2910,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2910,2914 College Ave,"37.857997, -122.253233",7671,,565690.8350999998,4190322.414000001
520,C02901,CO2901,CO2901,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2901,2708 Russell St,"37.858433, -122.253074",7672,,565704.4349999996,4190370.9009000007
521,C02887,CO2887,C02887,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2887,2887 College Ave,"37.858737, -122.253123",7673,,565699.8547,4190404.5956999995
522,S2150C,S2150C,S2150C,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 8 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8694962, -122.2682161",7756,,564362.7966999998,4191587.8330000006
523,S2150E,S2150E,S2150E,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 13 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8695373, -122.2681664",7757,,564367.1322999997,4191592.4274000004
524,S2150B,S2150B,S2150B,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 8 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8695489, -122.2682187",7758,,564362.5221999995,4191593.6784000006
525,S2150A,S2150A,S2150A,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 5 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8695895, -122.2681958",7759,,564364.5010000002,4191598.1987999994
526,S2100K,S2100K,S2100K,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 4 POLES S/O CENTER ST,2190 Shattuck Ave,"37.8696354, -122.2682123",7760,,564363.0098000001,4191603.280099999
527,S2100J,S2100J,S2100J,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 6 POLES S/O CENTER ST,2168 Shattuck Ave,"37.8696992, -122.2682213",7761,,564362.1627000002,4191610.352600001
528,S2150F,S2150F,S2150F,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 12 POLES S/O CENTER ST,2168 Shattuck Ave,"37.8697079, -122.2681511",7762,,564368.3295,4191611.3663
529,S2100F,S2100F,S2100F,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 2 POLES S/O CENTER ST,2168 Shattuck Ave,"37.86976, -122.2682281",7763,,564361.5116999997,4191617.093800001
530,S2168A,S2168A,S2168A,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 14 POLES S/O CENTER ST,2168 Shattuck Ave,"37.8697974, -122.268155",7764,,564367.9086999996,4191621.2938
531,S2100E,S2100E,S2100E,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 3 POLES S/O CENTER ST,2168 Shattuck Ave,"37.8698217, -122.268241",7765,,564360.3234999999,4191623.9306000005
532,S2168B,S2168B,S2168B,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 15 POLES S/O CENTER ST,2168 Shattuck Ave,"37.869875, -122.2681596",7766,,564367.4365999997,4191629.9004999995
533,S2168C,S2168C,S2168C,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 16 POLES S/O CENTER ST,2160 Shattuck Ave,"37.8699708, -122.2681513",7768,,564368.0832000002,4191640.5353999995
534,S2168D,S2168D,S2168D,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 17 POLES S/O CENTER ST,Center St,"37.8702177, -122.2681817",7770,,564365.1946,4191667.908500001
535,S2168E,S2168E,S2168E,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,SHATTUCK AVE 18 POLES S/O CENTER ST,Center St,"37.8702032, -122.2683035",7771,,564354.4945,4191666.2157000005
536,6962,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,150,N/A,N/A,,Berkeley City Park,"37.882798, -122.278697",7844,,563429.5471000001,4193056.5171000008
537,6963,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,150,N/A,N/A,,1702 Hopkins St,"37.883033, -122.278922",7845,,563409.5593999997,4193082.4378999993
538,6964,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/26/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,150,N/A,N/A,,1702 Hopkins St,"37.88306, -122.278908",7846,,563410.7674000002,4193085.4431
539,7530,NO CITY DATA,,Cobra Head,LED,74,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,LED Replaced by Tanko Lighting,3/19/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,Access Issue: Public School,Metal,2 ft,25-30 feet,None,HPS,200,LED,87,,Berkeley City Park,"37.882505, -122.27864",6797,,563434.8109999998,4193024.0469000004
540,7488,NO CITY DATA,B7488,Cobra Head,LED,39,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,ACTON ST 1788,1692 Acton St,"37.874756, -122.285071",7310,,562875.8629000001,4192159.9276
541,OGP1310,NO CITY DATA,OGP1310,Cobra Head,LED,39,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,OHLONE GREENWAY,1690 Acton St,"37.874872, -122.285297",7311,,562855.8881000001,4192172.6458
542,OGP1320,NO CITY DATA,OGP1320,Cobra Head,LED,39,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,OHLONE GREENWAY,1637 Franklin St,"37.875022, -122.285495",7312,,562838.3469000002,4192189.155200001
543,CO2999,CO2999,CO2999,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2999,2992 College Ave,"37.85615, -122.252907",7666,,565721.1527000004,4190117.7156000007
544,CO2961,CO2961,CO2961,Decorative,LED,70,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Sensity Post Top, Type III",PT-250-3-UAC-40-MG-BU,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,COLLEGE AVE 2961,2967 College Ave,"37.856887, -122.2529557",7668,,565716.2142000003,4190199.4528
545,CY10,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2235 Bonar St,"37.865681, -122.286206",7831,,562783.7424999997,4191152.2762
546,6984,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,,1255 Allston Way,"37.867261, -122.286326",7834,,562771.8470999999,4191327.4990999997
547,6980,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,,1255 Allston Way,"37.86748, -122.286388",7835,,562766.2079999996,4191351.7558999993
548,6961,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/23/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Shorting Cap,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,200,N/A,N/A,,Berkeley City Park,"37.88267, -122.278601",7843,,563438.0990000004,4193042.3805
549,6979,NO CITY DATA,B6979,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,WEST ST 2196,2192 West St,"37.867168, -122.286094",7790,,562792.3320000004,4191317.3367
550,6978,NO CITY DATA,B6978,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,WEST ST 2132,2111 West St,"37.8684211, -122.2860967",7792,,562791.0311000003,4191456.3685
551,CY12,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2223 Bonar St,"37.866121, -122.286285",7832,,562776.4205,4191201.0418
552,CY13,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2207 Bonar St,"37.866591, -122.286248",7833,,562779.2762000002,4191253.2139999997
553,6983,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2158 West St,"37.867786, -122.286151",7837,,562786.7940999996,4191385.8664999995
554,6981,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2123 Bonar St,"37.867925, -122.286426",7838,,562762.4880999997,4191401.1038000006
555,6982,NO CITY DATA,,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/22/2015,N/A,N/A,"Lumec Serenade Luminaire, Type V",S55-55W32LED4K-R-LE5,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,,2143 West St,"37.868055, -122.286066",7839,,562794.0421000002,4191415.7697
556,2800,2800,B2800,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,11/20/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,12 ft,< 25 feet,None,HPS,70,LED,42,HEARST & BONITA,1807 Bonita Ave,"37.8735232, -122.2720083",580,,564025.7704999996,4192032.0277999993
557,SN1427,SN1427,SN1427,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,9/26/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,2 ft,< 25 feet,None,HPS,100,LED,42,E/S STANNAGE 1/N/O PAGE SN1427,1427 Stannage Ave,"37.878027, -122.293074",860,,562169.2648,4192517.489
558,5607B,5670,5607B,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,12/26/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,12 ft,< 25 feet,Reinstalled existing shield,HPS,200,LED,42,GARBER 2844,2848 Garber St,"37.8608649, -122.2489824",1002,,566062.1929000001,4190643.612299999
559,B6168,NO CITY DATA,B6168,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,12/4/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,< 25 feet,None,HPS,70,LED,42,WEST OPP 1820,1300 Delaware St,"37.8719125, -122.2867218",1004,,562733.0894999998,4191843.325099999
560,B6316,6316,B6316,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,12/5/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,< 25 feet,None,HPS,100,LED,42,SPRUCE 30F S/O ROSE,2220 Rose St,"37.882256, -122.266199",1005,,564529.0771000003,4193004.951199999
561,B3173,NO CITY DATA,B3173,Unknown,Unknown,Unknown,N/A,Converted to LED by Tanko Lighting in 2015,1/19/2015,Unable to replace LED: Non-Leotek fixture found in field,N/A,Unknown,Unknown,Unknown,Unknown,N/A,Access Issue: City Pathway,Unknown,Unknown,Unknown,N/A,HPS,70,N/A,N/A,INDIAN ROCK PATH 12,12 Indian Rock Path 2,"37.892065, -122.273299",1006,,563896.2308,4194088.3943000007
562,B2911,2911,B2911,Cobra Head,LED,34,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,12/26/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,< 25 feet,None,HPS,70,LED,42,BOYNTON 459,456 Boynton Ave,"37.9019347, -122.2755291",1007,,563691.6379000004,4195181.9353
563,U0582,U0582,U582,Cobra Head,LED,74,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,11/20/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Concrete,2 ft,< 25 feet,None,HPS,100,LED,87,S/S UNIVERSITY 5/5/O 2ND ST U582 UNDER,University Ave,"37.8671177, -122.3015676",6457,,561431.3605000004,4191301.4585999995
564,U0588,U0588,U588,Cobra Head,LED,74,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,11/20/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Concrete,2 ft,< 25 feet,None,HPS,100,LED,87,S/S UNIVERSITY 11/E/O 2ND ST U588 OP,University Ave,"37.8671856, -122.3012248",6458,,561461.4557999996,4191309.2179000005
565,UO583,UO583,,Cobra Head,LED,74,5/29/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,9/16/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,2 ft,< 25 feet,None,HPS,100,LED,87,,1930 2nd St,"37.867179, -122.302244",6459,,561371.8154999996,4191307.8148999996
566,CM1301,CM1301,CM1301,Cobra Head,LED,74,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,11/12/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,< 25 feet,None,HPS,200,LED,87,AVALON AVE,2 The Uplands,"37.8543454, -122.2481758",6573,,566138.9708000002,4189920.8333
567,U0580,U0580,U580,Cobra Head,LED,74,2/4/2020,Converted to LED by Tanko Lighting in 2015,1/19/2015,LED Replaced by Tanko Lighting,9/16/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Concrete,2 ft,< 25 feet,None,HPS,100,LED,87,S/S UNIVERSITY 3/E/O 2ND ST U580 OP,University Ave,"37.8670147, -122.3020123",6574,,561392.3313999996,4191289.738
568,S93,S93,S93,Decorative,LED,55,N/A,Converted to LED by Tanko Lighting in 2015,1/17/2015,N/A,N/A,"Sensity Post Top, Type V",PT-175-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,ADDISON ST 1 POLE W/O E. SHATTUCK AVE,98 Shattuck Ave,"37.8712947, -122.2682388",19,,564359.2355000004,4191787.3642999995
569,2225B,2225,B2225,Unknown,Unknown,Unknown,N/A,Converted to LED by Tanko Lighting in 2015,1/17/2015,Unable to replace LED: Non-Leotek fixture found in field,N/A,Unknown,Unknown,Unknown,Unknown,N/A,None,Unknown,Unknown,Unknown,N/A,HPS,200,N/A,N/A,DWIGHT WY & BOWDITCH,2494 Bowditch St,"37.865492, -122.2562567",579,,565418.2199999997,4191151.8742999993
