,name,start_id,end_id,highway,crime_count,light_count,component,start_lat,start_lon,end_lat,end_lon,distance
98,Upper Jordan Fire Trail,92041967,92041953,track,0,0,0,37.8808574,-122.2400348,37.8802718,-122.2398267,222.12391839589978
99,Upper Jordan Fire Trail,92041953,760717091,track,0,0,0,37.8802718,-122.2398267,37.8801482,-122.2394226,124.9318188006059
100,Upper Jordan Fire Trail,760717091,92041942,track,0,0,0,37.8801482,-122.2394226,37.8802371,-122.2392134,68.49140933799686
101,Upper Jordan Fire Trail,92041942,92041931,track,0,0,0,37.8802371,-122.2392134,37.8806182,-122.2388915,167.28117207783862
102,Upper Jordan Fire Trail,92041931,760717087,track,0,0,0,37.8806182,-122.2388915,37.8810331,-122.2377113,372.43933263533086
103,Upper Jordan Fire Trail,760717087,760717086,track,0,0,0,37.8810331,-122.2377113,37.8810119,-122.2376309,24.43627887002907
104,Upper Jordan Fire Trail,760717086,760717084,track,0,0,0,37.8810119,-122.2376309,37.8803175,-122.2372232,279.5150877140986
105,Upper Jordan Fire Trail,760717084,92041874,track,0,0,0,37.8803175,-122.2372232,37.8801042,-122.2364804,227.8599061350068
106,Upper Jordan Fire Trail,92041874,92041866,track,0,0,0,37.8801042,-122.2364804,37.8795591,-122.2363678,201.70742507034976
107,Upper Jordan Fire Trail,92041866,760720178,track,0,0,0,37.8795591,-122.2363678,37.87945,-122.2349945,397.8870146194898
108,Upper Jordan Fire Trail,760720178,92042093,track,0,0,0,37.87945,-122.2349945,37.8789123,-122.2346203,224.05337584298468
109,Upper Jordan Fire Trail,92042093,775886331,track,0,0,0,37.8789123,-122.2346203,37.8790499,-122.2324558,625.989855479373
110,Upper Jordan Fire Trail,775886331,775886329,track,0,0,0,37.8790499,-122.2324558,37.8786942,-122.2319099,204.06066168168746
111,Upper Jordan Fire Trail,775886329,92041748,track,0,0,0,37.8786942,-122.2319099,37.876575,-122.2311334,805.6830280303152
112,Upper Jordan Fire Trail,92041748,760719970,track,0,0,0,37.876575,-122.2311334,37.8762569,-122.2314671,150.83256084314283
113,Upper Jordan Fire Trail,760719970,775886292,track,0,0,0,37.8762569,-122.2314671,37.8754465,-122.2315398,296.71103578476396
114,Upper Jordan Fire Trail,775886292,92041720,track,0,0,0,37.8754465,-122.2315398,37.8753947,-122.2315063,21.240444303929685
115,Upper Jordan Fire Trail,92041720,775886290,track,0,0,0,37.8753947,-122.2315063,37.8753513,-122.2313775,40.371378374452846
