the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.29435624038004 37.860187688326896),899,DWIGHT,851,562071.463832,94710,DWIGHT,851,-20.734,25,4190537.33377,DWIGHT WAY,245,Single Pole,SINGLE POLE
POINT (-122.2938801358712 37.8601165907497),923,DWIGHT,901,562113.403838,94710,DWIGHT,2520,-19.022,35,4190529.7618,EIGHTH ST,246,Single Pole,SINGLE POLE
POINT (-122.25833869531154 37.865093695171964),2519,DWIGHT,2501,565235.440763,94704,DWIGHT,2502,49.768,35,4191106.22503,DWIGHT WAY,247,Single Pole,SINGLE POLE
POINT (-122.25908913956164 37.85966478696174),2799,TELEGRAPH,2731,565174.212359,94705,TELEGRAPH,2455,33.096,35,4190503.35353,STUART ST,248,Pole Mast,MASTARM POLE
POINT (-122.29433886509561 37.86025079017179),899,DWIGHT,801,562072.938869,94710,DWIGHT,851,-18.276,25,4190544.34637,DWIGHT WAY,249,Single Pole,SINGLE POLE
POINT (-122.29509682048997 37.86059286866453),899,DWIGHT,801,562005.978942,94710,DWIGHT,2437,-21.619,25,4190581.79694,SIXTH ST,250,Single Pole,SINGLE POLE
POINT (-122.27161560089942 37.85985676648318),2699,MARTIN LUTHER KING J,2625,564072.141376,94703,MARTIN LUTHER KING J,0,8.27,35,4190515.98238,MILVIA ST,251,Pole Mast,MASTARM POLE
POINT (-122.28964977567351 37.86099448692744),1099,DWIGHT,1051,562484.788417,94702,DWIGHT,2500,-17.504,35,4190629.98943,SAN PABLO AVE,252,Pole Mast,MASTARM POLE
POINT (-122.28972889916929 37.861016452008656),1099,DWIGHT,1051,562477.810129,94702,DWIGHT,2500,-16.087,35,4190632.37297,SAN PABLO AVE,253,Single Pole,SINGLE POLE
POINT (-122.2897631667168 37.86112066625375),1099,DWIGHT,1051,562474.707608,94702,DWIGHT,2448,-18.364,35,4190643.9134,SAN PABLO AVE,254,Single Pole,SINGLE POLE
POINT (-122.28940385127109 37.8610341650997),1113,DWIGHT,1101,562506.388008,94702,DWIGHT,2501,-18.672,35,4190634.55663,SAN PABLO AVE,255,Single Pole,SINGLE POLE
POINT (-122.28937299477866 37.86107663802256),1113,DWIGHT,1101,562509.066719,94702,DWIGHT,2501,-14.55,35,4190639.28941,SAN PABLO AVE,256,Single Pole,SINGLE POLE
POINT (-122.2670967558863 37.8639599571613),2199,DWIGHT,2101,564466.070936,94704,DWIGHT,2104,47.918,35,4190974.3496,DWIGHT WAY,257,Single Pole,SINGLE POLE
POINT (-122.26721213328946 37.86391516092984),2199,DWIGHT,2101,564455.961891,94704,DWIGHT,2104,47.564,35,4190969.29929,DWIGHT WAY,258,Single Pole,SINGLE POLE
POINT (-122.26535066987066 37.864175803459396),2199,DWIGHT,2101,564619.470392,94704,DWIGHT,2180,47.946,35,4190999.5048,DWIGHT WAY,259,Single Pole,SINGLE POLE
POINT (-122.26712499669338 37.864072004984216),2199,DWIGHT,2101,564463.489305,94704,DWIGHT,2107,48.252,35,4190986.76224,DWIGHT WAY,260,Single Pole,SINGLE POLE
