FACILITYID,INSTALLDAT,WATTAGE,the_geom,CONDITION,LASTUPDATE,ACCOUNT,ARM_LENGTH,LATITUDE,LONGITUDE,DISTRIBUTI,CITY_FACIL,GROUP_,HEADS,INSTALLED,PHOTOCELL,ISSUES_REP,MODEL_NUMB,MOUNTING_H,OLD_TARIFF,OLD_TYPE,VOLTAGE,OLD_WATTAG,PGE_TARIFF,PLATE_PHOT,POLE_CONDI,POLE_MATER,RATE,SAID,SPID,ADDRESS,TWIN_POLE_,UNIQUE_ID,MANUFACTUR,WARRANTY_D,WARRANTY_P,WARRANTY,AUDIT_DATE
B5642,08/18/2014 12:00:00 AM +0000,42,POINT (-122.25067500024485 37.85831499917911),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858315,-122.250675,3,5642,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-18-14_8_01_AM_5642_installer16.jpg,OK,Wood,LS-2,6274328004,8159803604,2905 PIEDMONT AVE,,0425_1228_0551,Leotek,08/18/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
B5029,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26394000047242 37.858328998740014),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858329,-122.26394,3,5029,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_100,HPS,120,100,S-LD-45,Berkeley_Install_8-7-14_9_22_AM_5029_installer13.jpg,OK,Wood,LS-2,6274328004,8128523422,2811 FULTON ST,,0430_1318_4889,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B6333,08/08/2014 12:00:00 AM +0000,42,POINT (-122.26154499979752 37.85836999902028),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.85837,-122.261545,3,6333,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-8-14_9_27_AM_6333_installer10.jpg,OK,Wood,LS-2,6274328004,8170173468,2292 OREGON ST,,0430_1436_1509,Leotek,08/08/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B4773,07/16/2014 12:00:00 AM +0000,42,POINT (-122.28476299950442 37.858385999163104),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858386,-122.284763,3,4773,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-16-14_1_55_PM_B4773_installer16.jpg,OK,Wood,LS-2,6274328004,8159743162,2675 MABEL ST,,0422_0916_4884,Leotek,07/16/2014 12:00:00 AM +0000,Graybar,10,04/22/2014 12:00:00 AM +0000
B4769,07/16/2014 12:00:00 AM +0000,42,POINT (-122.28218099981017 37.858397998821054),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858398,-122.282181,3,4769,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-16-14_9_54_AM_b4769_installer14.jpg,OK,Wood,LS-2,6274328004,8159743132,1406 DERBY ST,,0417_1529_6472,Leotek,07/16/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B4517,07/24/2014 12:00:00 AM +0000,42,POINT (-122.2732250004143 37.858409999357555),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.85841,-122.273225,3,4517,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-24-14_9_22_AM_b4517_installer13.jpg,OK,Wood,LS-2,6274328004,8159726574,2759 GRANT ST,,0429_1633_2351,Leotek,07/24/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
B5685,08/18/2014 12:00:00 AM +0000,42,POINT (-122.24843199980349 37.85847099908878),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858471,-122.248432,3,5685,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-18-14_10_34_AM_5685B_installer16.jpg,OK,Wood,LS-2,6274328004,8159806826,2907 PINE AVE,,0425_1308_4038,Leotek,08/18/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
B3245,08/08/2014 12:00:00 AM +0000,42,POINT (-122.26053200042031 37.85850899935628),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858509,-122.260532,3,3245,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-8-14_9_19_AM_3245_installer10.jpg,OK,Wood,LS-2,6274328004,8149308702,2338 OREGON ST,,0430_1437_5206,Leotek,08/08/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B4911,07/02/2014 12:00:00 AM +0000,42,POINT (-122.29338400001743 37.858514999051025),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858515,-122.293384,3,4911,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-2-14_9_09_AM_4911_installer14.jpg,OK,Wood,LS-2,6274328004,8159754626,905 PARKER ST,,0417_0822_3553,Leotek,07/02/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B4650,07/22/2014 12:00:00 AM +0000,42,POINT (-122.27781200047386 37.858521999022365),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858522,-122.277812,3,4650,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-22-14_9_27_AM_b4650_installerin.jpg,OK,Wood,LS-2,6274328004,8159734898,2729 CALIFORNIA ST,,0429_1706_8049,Leotek,07/22/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
